moderator,market,Productivity,Utilisation %,handling time,  accuracy  
1689841547143170,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""EG"", ""LB""]",286.2176744,0.812403101,123549,                  -   
1686755036370945,"[""RO""]",174.56,0.704833333,25547, 0.959 
1741913197768705,"[""VN""]",334.376,0.819166667,50794, 1.000 
1743415203890193,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",452.2775,0.775473958,89626, 0.941 
1710346282427393,"[""PH""]",612.3125,0.843229167,98066, 0.887 
1748544247125010,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",292.33,0.678776042,80656, 0.739 
1693678171087873,"[""VN""]",189.18,0.8505,48657, 0.952 
1771763479218193,"[""DK""]",259.58,0.839270833,72591, 0.881 
1694041901312002,"[""TR""]",313.5525,0.877083333,101102, 1.000 
6728796,"[""TR"", ""GB"", ""IE""]",441.625,0.617239583,75246, 0.766 
1710346245842945,"[""PH""]",321.7166667,0.878472222,63382, 0.964 
5090932,"[""AU"", ""NZ"", ""SG""]",732.022,0.9039125,130291, 0.949 
6283878,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE"", ""BR""]",337.825,0.577010417,51819, 0.665 
5916755,"[""NO""]",272.1725,0.255161458,37998, 0.766 
1695200048739329,"[""IT""]",164.1133333,0.709354167,58799, 0.760 
1716552374593537,"[""ID""]",104.055,0.377083333,12672, 0.966 
1312666,"[""SA"", ""OM"", ""BH"", ""QA"", ""AE"", ""DZ"", ""JO"", ""IQ"", ""KW"", ""TN"", ""MA"", ""LB"", ""EG""]",,,0, 0.719 
1737654173573122,"[""VN""]",373.842,0.831379167,123420, 0.906 
1672986653202437,"[""KZ""]",269.8375,0.619338542,78369, 0.851 
1752804614390817,"[""MX"", ""UY"", ""CL"", ""CO"", ""AR"", ""EC"", ""PE"", ""BR""]",835.2433333,0.789854167,69947, 0.844 
7389679,"[""MX"", ""CO"", ""CL"", ""AR"", ""PE"", ""BR""]",456.54,0.765380208,92271, 0.800 
1736353481347074,"[""MX"", ""UY"", ""CO"", ""AR"", ""CL"", ""EC"", ""PE"", ""BR""]",130.6105263,0.650623782,40716, 0.752 
2735217,"[""VN""]",,,0, 0.763 
1758321775497234,"[""KH""]",398.5175,1.114421875,96762, 0.826 
8626002,"[""TH""]",548.998,0.889754167,126580, 0.837 
7977305,"[""JP""]",491.1333333,0.605868056,82903, 0.859 
1811986,"[""ID""]",506.918,0.866354167,122544, 0.818 
1732422617628673,"[""ID""]",326.985,0.687723958,102384, 0.947 
1671850168837125,"[""SA"", ""BH"", ""OM"", ""QA"", ""JO"", ""IQ"", ""KW"", ""LB"", ""EG""]",,,0, 0.869 
1773654622274561,"[""KH""]",217.505,0.914135417,104618, 0.909 
8239853,"[""AU"", ""PH""]",545.56,0.753895833,21289, 0.947 
2326827,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE"", ""BR""]",577.7725,0.652697917,90891, 0.744 
1707706610145282,"[""NL""]",266.56,0.758988889,39941, 0.889 
1735138527102977,"[""IT""]",235.8,0.68878125,39220, 0.942 
1724471787931649,"[""SA"", ""BH"", ""OM"", ""QA"", ""JO"", ""IQ"", ""KW"", ""LB"", ""EG""]",388.824186,0.87924031,134430, 0.879 
1769227294348322,"[""NL""]",422.06,0.5985625,24486, 0.950 
1999691,"[""TW"", ""KR"", ""SG""]",599.29,0.877120833,122760, 0.862 
1771651753636882,"[""JP""]",120.638,0.3110875,44698, 0.941 
1716146333169665,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",137.625,0.529333333,32049, 0.943 
5377569,"[""MY"", ""ID""]",427.054,0.767725,110135, 0.887 
1719108856889346,"[""SE""]",243.555,0.348666667,37735, 0.972 
1694295112088577,"[""CZ""]",247.005,0.787052083,85963, 0.911 
1739309378401282,"[""VN""]",367.01,0.863020833,95909, 0.833 
1736487754076162,"[""ID""]",409.298,0.882929167,127571, 0.959 
1740298905711617,"[""JP""]",149.4475,0.021098958,17227, 0.917 
1878278,"[""FR""]",199.27,0.52184375,75871, 0.659 
1695769015370753,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",398.58,0.874401042,116606, 0.883 
8902072,"[""JP""]",,,0, 0.967 
8938999,"[""UA"", ""RU"", ""BY""]",,,0, 1.000 
1762779837863938,"[""CZ""]",323.01,0.778472222,65445, 0.993 
1763374037177377,"[""BR""]",462.5548387,0.770849462,87263, 0.527 
1737428902974466,"[""PL""]",228.98,0.807354167,73537, 0.863 
1738944494259201,"[""GR""]",399.7875,0.849625,106136, 0.953 
1729880322678785,"[""ID""]",336.3725,0.864145833,98819, 0.919 
5608898,"[""US"", ""CA""]",565.1875,0.811286458,106304, 0.963 
1700711913253889,"[""BG""]",259.855,0.823020833,79839, 0.798 
1672502123346950,"[""US"", ""CA""]",133.2266667,0.537611111,79835, 0.789 
1767847119851554,"[""HU""]",360.435,0.535427083,76884, 0.853 
9759789,"[""GB"", ""IE"", ""LV""]",173.145,0.208322917,13220, 0.353 
1752289495219201,"[""US"", ""CA""]",383.448,0.805644444,97686, 0.911 
5799635,"[""TH""]",519.145,0.879041667,103497, 0.852 
1741279730538497,"[""VN""]",299.224,0.787254167,114557, 0.919 
1693560602235905,"[""VN""]",247.1733333,0.8740625,74360, 0.936 
1769097368736786,"[""MY""]",268.7025,0.617322917,91234, 0.911 
1736753775507458,"[""ID""]",619.5466667,0.864645833,73615, 0.947 
1669724932562950,"[""JP""]",314.5825,0.733546875,62154, 0.919 
1764223632918545,"[""FI""]",261.5733333,0.587125,57807, 0.803 
9659971,"[""UA"", ""RU"", ""BY""]",319.92,0.31528125,83980, 1.000 
1749003786899457,"[""NL""]",,,0, 0.964 
1771651753636866,"[""PH""]",148.58,0.798604167,23015, 0.939 
1693539332832322,"[""VN""]",258.35,0.8708125,99791, 0.936 
1759961674413106,"[""US""]",261.9775,0.808213542,89468, 0.792 
5618519,"[""ID"", ""SG""]",263.67,0.467701389,41790, 0.957 
1750192205585409,"[""IT""]",241.1251613,0.744510753,82264, 0.958 
1752737541815297,"[""DE""]",283.3533333,0.802791667,68240, 0.897 
1301929,"[""AU"", ""NZ"", ""SG""]",593.272,0.745941667,132471, 0.942 
1713476001087489,"[""PK""]",449.9325,0.895421875,121628, 0.934 
3116616,"[""KR""]",223.2975,0.603864583,71214, 0.850 
2873783,"[""US"", ""CA""]",204.2366667,0.529402778,89440, 0.455 
1736487393897473,"[""ID""]",481.1525,0.986354167,113700, 0.926 
7763271,"[""US"", ""CA""]",161.34,0.724864583,42496, 0.500 
1729842322829314,"[""US"", ""CA""]",172.5033333,0.744541667,61756, 0.832 
1772371860026370,"[""GB""]",253.17,0.770859375,106327, 0.813 
1736353473938434,"[""MX"", ""UY"", ""CO"", ""AR"", ""CL"", ""EC"", ""PE"", ""BR""]",394.71,0.733682292,83584, 0.921 
1747021185229826,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""MA"", ""EG"", ""LB""]",515.1763636,0.792670455,123493, 0.936 
7559160,"[""NO"", ""DK"", ""GB"", ""SE"", ""IE""]",345.7625,0.801130208,106665, 0.690 
1736770021242882,"[""TH""]",397.29,0.516395833,47651, 0.949 
8831199,"[""AU"", ""NZ"", ""SG""]",638.5975,0.809880208,174056, 0.876 
9052960,"[""SA"", ""OM"", ""BH"", ""QA"", ""DZ"", ""AE"", ""JO"", ""IQ"", ""KW"", ""TN"", ""MA"", ""LB"", ""EG""]",,,0, 0.777 
1728888969578497,"[""ID""]",326.5666667,0.642361111,53692, 0.892 
1752804614390833,"[""MX"", ""UY"", ""CO"", ""AR"", ""CL"", ""EC"", ""PE"", ""BR""]",475.325,0.765036458,88192, 0.772 
1724470454753282,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""EG"", ""LB""]",522.4355556,0.752777778,189277, 0.968 
1672130496087046,"[""US"", ""CA""]",320.9025,0.646458333,79979, 0.847 
1753884661423138,"[""DE""]",251.8782609,0.753623188,53809, 0.880 
3172398,"[""KR"", ""SG""]",410.915,0.818380208,124981, 0.951 
1724922721733634,"[""NL""]",230.4133333,1.027077778,82272, 0.949 
3950155,"[""MX"", ""CL"", ""CO"", ""AR"", ""PE"", ""BR""]",507.112,0.906395833,137376, 0.722 
9558788,"[""AU"", ""NZ"", ""SG""]",377.0033333,0.937166667,83521, 0.954 
1768117920687106,"[""DE""]",,,0, 0.841 
7626565,"[""UA"", ""RU"", ""GB"", ""IE""]",138.6875,0.255369792,31434, 0.635 
6705570,"[""TR"", ""GB"", ""IE""]",333.0375,0.689078125,110262, 0.747 
1752697349807106,"[""TW""]",241.7725,0.9,101453, 0.932 
2708956,"[""GB"", ""IE""]",264.12,0.249614583,70336, 0.778 
1691852985713666,"[""PH""]",620.5575,0.856770833,96719, 0.957 
3022196,"[""GB"", ""DE"", ""IE""]",247.0333333,0.581277778,64645, 0.648 
1770122728378385,"[""MY""]",583.905,0.837786458,94569, 0.870 
1512827,"[""PH""]",221.055,0.160864583,35268, 0.818 
1747095981573122,"[""NL""]",242.1928205,0.960303419,136308, 0.948 
1726119572275202,"[""US"", ""CA""]",434.4533333,0.767423611,68305, 0.883 
9065085,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",90.39,0.379472222,8765, 0.846 
2311966,"[""TW""]",54.94,0.996,8145, 0.857 
1716223451261954,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",500.2834835,0.819184184,97954, 0.907 
1695095671197697,"[""ES""]",171.035,0.614416667,38625, 0.911 
1752791904934914,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",548.215,0.821536458,96126, 0.954 
7752505,"[""US"", ""CA""]",656.7275,0.8075,95546, 1.000 
1703159220924418,"[""GR""]",352.625,0.84140625,91414, 0.975 
2019221,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE"", ""BR""]",251.4895238,0.690380952,54808, 0.730 
1501968,"[""US"", ""CA""]",424.435,0.891145833,102684, 0.743 
1715432514674690,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",124.105,0.651578125,78865, 0.765 
1695067179302914,"[""GB""]",205.85,0.742333333,14866, 0.836 
1686664926599170,"[""PH""]",515.1933333,0.911861111,81577, 0.970 
1733016321234945,"[""US"", ""CA""]",199.78,0.787758333,53215, 0.807 
1711419252224001,"[""PH""]",208.538,0.868358333,125989, 0.812 
1761882871064593,"[""DK""]",,,0, 0.930 
8328881,"[""MY"", ""SG""]",323.3425,0.283442708,32644, 0.814 
1727248549938177,"[""PK""]",471.425,0.686895833,107627, 0.952 
1077236,"[""MY"", ""ID""]",468.56,0.78015625,95680, 0.864 
1703821567576065,"[""US"", ""CA""]",451.3810526,0.686780702,44711, 0.903 
1746474353707041,"[""SA"", ""BH"", ""OM"", ""QA"", ""JO"", ""IQ"", ""KW"", ""MA"", ""LB"", ""EG""]",531.68,0.75,67500, 1.000 
1772371860026402,"[""GB""]",421.84,0.845104167,95580, 0.984 
6236835,"[""ID""]",338.66,0.288208333,51215, 0.896 
7736076,"[""VN""]",299.7775,0.835239583,96393, 0.850 
1714605731150850,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",,,0, 0.888 
1756422385051682,"[""KR""]",378.405,0.845276042,94102, 0.871 
1736487767198722,"[""ID""]",476.545,0.876583333,102863, 0.936 
1769753698840577,"[""DE""]",125.2966667,0.689826389,59613, 0.636 
1736487575404546,"[""ID""]",461.1675,0.887744792,102026, 0.947 
1714700309532674,"[""MX"", ""UY"", ""CL"", ""CO"", ""AR"", ""EC"", ""PE"", ""BR""]",276.056,0.728958333,106971, 0.806 
9921960,"[""GB"", ""IE""]",287.6966667,0.8758125,86658, 0.751 
2930379,"[""TH""]",318.3275,0.347817708,60404, 0.778 
2658971,"[""US"", ""CA""]",309.22,0.73578125,43140, 0.609 
8035393,"[""MY"", ""ID""]",469.845,0.688322917,79341, 0.931 
1703396559410178,"[""US"", ""CA""]",341.655,0.948677083,52554, 0.901 
1724185616760833,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""LB"", ""EG""]",466.6088889,0.741361111,96719, 0.910 
1692119757018113,"[""BY""]",302.76,0.690822917,82507, 0.833 
1724470463815682,"[""ZA"", ""BH"", ""SA"", ""OM"", ""QA"", ""JO"", ""IQ"", ""KW"", ""MA"", ""EG""]",306.8141176,0.910132353,111642, 0.965 
5388029,"[""KR""]",817.785,0.809895833,46528, 0.766 
6103851,"[""SA"", ""BH"", ""ZA"", ""OM"", ""QA"", ""AE"", ""TR"", ""PK"", ""KW"", ""MA""]",136.645,0.6578125,94245, 0.682 
1815126,"[""TH""]",589.03,0.898494792,104742, 0.886 
1649165526729733,"[""JP""]",396.97,0.735611111,62755, 0.934 
1693948493861890,"[""RO""]",,,0, 0.976 
1912879,"[""TW""]",1050.9075,0.3476875,115312, 0.860 
1695027604731906,"[""FR""]",463.1914894,0.797262411,161379, 0.963 
1735138375955458,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE""]",341.7033333,0.764229167,63632, 0.925 
1748544247125042,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",353.76,0.799645833,68772, 0.980 
1739288550742017,"[""MY""]",500.1,0.8829375,102503, 0.970 
5356869,"[""VN"", ""AU"", ""NZ""]",381.9366667,0.493013889,61372, 0.888 
1771651748366337,"[""PH""]",415.836,0.7856,113724, 0.899 
1705699742139394,"[""KH""]",366.15,1.150041667,76773, 0.870 
1695273683331074,"[""TW""]",684.3275,0.751151042,105020, 0.855 
1713507411937282,"[""GB""]",394.5292308,0.803230769,113322, 0.759 
1782229,"[""MX"", ""AR"", ""OTHER""]",130.96,0.349635417,21234, 1.000 
9162935,"[""MY"", ""SG""]",460.41,0.601138889,51879, 0.760 
1747108832929793,"[""IT""]",249.2668852,0.699765027,74523, 0.881 
5108027,"[""SA"", ""OM"", ""BH"", ""QA"", ""AE"", ""DZ"", ""JO"", ""IQ"", ""KW"", ""TN"", ""MA"", ""EG"", ""LB""]",269.89,0.701020833,101592, 0.807 
1748546108353569,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",796.872,0.8695125,124920, 0.957 
1715243011305474,"[""MX"", ""UY"", ""CO"", ""AR"", ""CL"", ""EC"", ""PE"", ""BR""]",656.565,0.791484375,89171, 0.965 
1695529068585986,"[""MY""]",213.975,0.7950625,92066, 0.872 
8220976,"[""US"", ""CA""]",,,0, 0.634 
1695527526423554,"[""MY""]",718.57,0.887236111,75552, 0.949 
1686232012600322,"[""TR""]",295.144,0.868579167,118894, 0.943 
1764761367947282,"[""FI""]",480.616,0.778579167,343694, 0.885 
1772265394873346,"[""ID""]",242.54,0.872875,50015, 0.909 
3109128,"[""PT""]",268.07,0.477963542,396298, 0.731 
1753012934144001,"[""MX"", ""UY"", ""CL"", ""CO"", ""AR"", ""EC"", ""PE"", ""BR""]",239.975,0.542526042,61179, 0.874 
1749551102734338,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""MA"", ""LB"", ""EG""]",394.5413953,0.751937984,114562, 0.404 
1763374037177361,"[""BR""]",307.4554839,0.771768817,84618, 0.660 
1736353489446913,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",217.562,0.768183333,113709, 0.967 
1696369097856001,"[""MY""]",246.805,0.786958333,47000, 0.932 
1770119534193714,"[""PL""]",315.0825,0.79621875,90261, 0.898 
1724426830167041,"[""PK""]",402.195,0.806260417,95950, 0.907 
1717152819047426,"[""US"", ""CA""]",,,0, 0.955 
1741850392320017,"[""VN""]",393.225,0.856770833,95112, 0.944 
2058592,"[""MY"", ""ID""]",496.928,0.875533333,63224, 0.887 
8662606,"[""ID""]",437.1575,0.789109375,91541, 0.825 
1736955027658753,"[""ES""]",,,0, 0.932 
2629786,"[""GB"", ""IE""]",281.2625,0.744234375,104653, 0.650 
1735501938296834,"[""CZ""]",453.7704348,0.836268116,67127, 0.928 
1735138441321473,"[""NL""]",315.16,0.622791667,41405, 0.913 
5538770,"[""AT"", ""CH"", ""DE""]",11.73,0.9465,729, 0.579 
1693637244412929,"[""VN""]",226.198,0.704458333,124987, 0.768 
1748619681801218,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",479.95,0.824692708,94959, 0.879 
6858011,"[""CZ"", ""GB"", ""IE""]",,,0, 0.500 
1714875416888321,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",,,0, 0.943 
5563535,"[""US"", ""CA""]",637.78,0.883055556,78799, 0.929 
8250939,"[""MY"", ""ID""]",445.97,0.311833333,30073, 0.822 
1715218806419458,"[""KZ""]",372.1257143,0.813738095,79859, 0.790 
1686638,"[""GB"", ""IE"", ""FR""]",256.68,0.24525,61710, 0.587 
1672986746847238,"[""TR""]",237.7757377,0.896562842,106601, 0.976 
6561333,"[""NO"", ""DK"", ""GB"", ""SE"", ""IE""]",265.3125,0.740015625,100601, 0.649 
1768203847936033,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",291.17,0.752526042,86521, 0.697 
1755541489126450,"[""MY""]",456.67,0.946423611,81253, 0.957 
1690239244530689,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""LB"", ""EG""]",443.7866667,0.780209877,82536, 0.963 
3357930,"[""US"", ""CA""]",345.8,0.885618056,90157, 0.667 
1732493811827713,"[""ID""]",402.6233333,0.844048611,72127, 0.893 
1724426811354114,"[""PK""]",566.595,0.705208333,133760, 0.920 
1717309548041217,"[""ES""]",,,0, 0.909 
2229067,"[""ID""]",376.31,0.673545833,119037, 0.822 
3709162,"[""UA"", ""RU"", ""BY""]",73.29,0.161833333,7000, 0.660 
1717904650320898,"[""JP""]",282.4866667,0.202826389,25705, 1.000 
1723656044244993,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",318.3,0.825703125,95092, 0.947 
9676392,"[""SA"", ""OM"", ""BH"", ""QA"", ""AE"", ""DZ"", ""JO"", ""IQ"", ""KW"", ""TN"", ""MA"", ""EG"", ""LB""]",453.355,0.64784375,81661, 0.761 
1694610948369410,"[""ID""]",550.6166667,0.844097222,72246, 0.942 
1722169427595266,"[""PH""]",537.8,0.654745833,125265, 0.938 
1743478384980002,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",180.4675,0.717520833,87753, 0.965 
7039799,"[""VN""]",342.68,0.71478125,80474, 0.922 
1889921,"[""RO""]",303.105,0.427651042,66415, 0.764 
1721121602885634,"[""SE""]",257.1786667,0.793822222,85974, 0.930 
6073125,"[""JP""]",1323.355,0.844197917,98155, 0.911 
1774283521390594,"[""FR""]",947.75,0.74315625,41597, 1.000 
1759961674414082,"[""KZ""]",293.9354839,0.828580645,88819, 0.806 
6585903,"[""CY"", ""GR""]",92.77,0.455104167,12745, 0.694 
3173062,"[""TW"", ""KR"", ""SG""]",512.91,0.635203125,94917, 0.887 
1695031190880258,"[""ID""]",365.0933333,0.829027778,70307, 0.917 
2138727,"[""VN"", ""KH""]",416.455,0.611515625,65354, 0.884 
2933698,"[""US"", ""CA""]",373.38,0.692954167,109500, 0.682 
3561577,"[""UA"", ""RU"", ""GB"", ""IE""]",,,0, 0.500 
1714437585276929,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",138.625,0.627661458,77323, 0.964 
1767935702692865,"[""HU""]",209.355,0.668265625,74113, 0.851 
1746474509119521,"[""SA"", ""BH"", ""OM"", ""QA"", ""JO"", ""IQ"", ""KW"", ""MA"", ""EG"", ""LB""]",367.3796226,0.748242138,149463, 0.896 
9276652,"[""GB"", ""IE""]",,,0, 0.724 
6525737,"[""TH""]",639.9375,0.871911458,125920, 0.775 
1705324000866306,"[""ID""]",432.3933333,0.856215278,72879, 0.934 
9957396,"[""MX"", ""UY"", ""CL"", ""EC"", ""PE"", ""BR""]",467.4675,0.823197917,93914, 0.788 
1730409705792513,"[""ID""]",647.9375,0.715078125,111441, 0.903 
1739401359705089,"[""VN""]",337.4425,0.747713542,99442, 0.941 
1760348202966018,"[""KZ""]",208.065,0.778645833,79729, 0.746 
6181372,"[""ES"", ""GB"", ""IE""]",192.605,0.33040625,46161, 0.784 
1724426772777986,"[""PK""]",352.8,0.913305556,79548, 0.984 
1672987155331077,"[""TR""]",323.1125,0.793755208,87756, 0.957 
1694647624630274,"[""TH""]",425.96,0.896901042,100945, 0.932 
1714960827917314,"[""MX"", ""UY"", ""CL"", ""CO"", ""AR"", ""EC"", ""PE"", ""BR""]",238.7375,0.771625,73210, 0.778 
1669223,"[""US"", ""CA""]",293.4066667,0.833333333,69150, 1.000 
3357920,"[""VN""]",29.3,0.992458333,632, 0.659 
1714052230375426,"[""IT""]",232.5435897,0.777675214,111593, 0.889 
1972062,"[""JP""]",578.708,0.824366667,120060, 0.907 
8622880,"[""PH""]",261.425,0.240744792,52890, 0.915 
1686665037198402,"[""PH""]",328.345,0.91875,85921, 0.964 
1747655395696658,"[""FR""]",495.3475,0.747885417,84964, 0.869 
6152007,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",530.1,0.360625,112559, 0.741 
1742577881965569,"[""NO""]",316.7875,0.794734375,107157, 0.928 
1772379228620801,"[""IT""]",656.7791304,0.779014493,62778, 0.839 
3973592,"[""US"", ""CA""]",377.8333333,0.818326389,76394, 0.712 
1723453161441282,"[""TH""]",647.085,0.901348958,100372, 0.941 
1736353461364738,"[""MX"", ""UY"", ""CO"", ""AR"", ""CL"", ""EC"", ""PE"", ""BR""]",170.76,0.764760417,87890, 0.858 
6768191,"[""TH""]",576.0875,0.859333333,97289, 0.909 
3933362,"[""GB"", ""IE""]",374.78,0.805807292,128172, 0.679 
3019589,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE"", ""BR""]",379.55,0.774651042,105385, 0.698 
1702103753027586,"[""FR""]",391.6533333,0.722722222,37838, 0.939 
6251389,"[""US"", ""CA""]",,,0, 0.684 
1672120680486917,"[""US"", ""CA""]",386.87,0.705026042,79157, 0.874 
1750192610892818,"[""NL""]",,,0, 0.955 
1691841339811842,"[""PH""]",618.86,0.872916667,25107, 0.954 
1672986668009478,"[""BY""]",386.3125,0.826109375,92423, 0.818 
1735693880924161,"[""HU""]",224.1456359,0.818890274,133126, 0.922 
1694555598292994,"[""NL""]",46.38608696,0.196601449,29984,                  -   
1752090693569553,"[""SE""]",662.5394872,1.067987179,112241, 0.927 
